Gene,Signature,Type
SOD1,DNA Damage Repair,Cell Function
BAP1,DNA Damage Repair,Cell Function
NSD2,DNA Damage Repair,Cell Function
ATR,DNA Damage Repair,Cell Function
NBN,DNA Damage Repair,Cell Function
EYA1,DNA Damage Repair,Cell Function
RAD51,DNA Damage Repair,Cell Function
ALKBH2,DNA Damage Repair,Cell Function
MAD2L2,DNA Damage Repair,Cell Function
MRE11,DNA Damage Repair,Cell Function
RAD51C,DNA Damage Repair,Cell Function
PCNA,DNA Damage Repair,Cell Function
MUTYH,DNA Damage Repair,Cell Function
RAD21,DNA Damage Repair,Cell Function
ALKBH3,DNA Damage Repair,Cell Function
CHEK2,DNA Damage Repair,Cell Function
ATRX,DNA Damage Repair,Cell Function
ERCC3,DNA Damage Repair,Cell Function
UBE2T,DNA Damage Repair,Cell Function
NTHL1,DNA Damage Repair,Cell Function
CHEK1,DNA Damage Repair,Cell Function
NEIL1,DNA Damage Repair,Cell Function
CDK2,DNA Damage Repair,Cell Function
POLD1,DNA Damage Repair,Cell Function
XPA,DNA Damage Repair,Cell Function
TP73,DNA Damage Repair,Cell Function
ERCC6,DNA Damage Repair,Cell Function
MSH6,DNA Damage Repair,Cell Function
CCNA2,DNA Damage Repair,Cell Function
POLR2J,DNA Damage Repair,Cell Function
EP300,DNA Damage Repair,Cell Function
RPS27A,DNA Damage Repair,Cell Function
MDC1,DNA Damage Repair,Cell Function
BRCA2,DNA Damage Repair,Cell Function
POLR2H,DNA Damage Repair,Cell Function
RFC4,DNA Damage Repair,Cell Function
RPA3,DNA Damage Repair,Cell Function
MGMT,DNA Damage Repair,Cell Function
CDKN2D,DNA Damage Repair,Cell Function
ISG15,DNA Damage Repair,Cell Function
BRIP1,DNA Damage Repair,Cell Function
TP53,DNA Damage Repair,Cell Function
FANCG,DNA Damage Repair,Cell Function
H2AX,DNA Damage Repair,Cell Function
ACTB,DNA Damage Repair,Cell Function
XRCC4,DNA Damage Repair,Cell Function
UBA7,DNA Damage Repair,Cell Function
POLD4,DNA Damage Repair,Cell Function
FANCF,DNA Damage Repair,Cell Function
EXO1,DNA Damage Repair,Cell Function
MLH1,DNA Damage Repair,Cell Function
FANCA,DNA Damage Repair,Cell Function
GADD45G,DNA Damage Repair,Cell Function
POLB,DNA Damage Repair,Cell Function
ERCC2,DNA Damage Repair,Cell Function
BLM,DNA Damage Repair,Cell Function
UBC,DNA Damage Repair,Cell Function
PRKCG,DNA Damage Repair,Cell Function
UBB,DNA Damage Repair,Cell Function
FEN1,DNA Damage Repair,Cell Function
RAD50,DNA Damage Repair,Cell Function
PIAS4,DNA Damage Repair,Cell Function
RBX1,DNA Damage Repair,Cell Function
MNAT1,DNA Damage Repair,Cell Function
RAD52,DNA Damage Repair,Cell Function
PRKDC,DNA Damage Repair,Cell Function
BRCA1,DNA Damage Repair,Cell Function
FANCC,DNA Damage Repair,Cell Function
MAPK8,DNA Damage Repair,Cell Function
POLE2,DNA Damage Repair,Cell Function
DDB2,DNA Damage Repair,Cell Function
MSH2,DNA Damage Repair,Cell Function
ABL1,DNA Damage Repair,Cell Function
HMGB1,DNA Damage Repair,Cell Function
WRN,DNA Damage Repair,Cell Function
RFC3,DNA Damage Repair,Cell Function
ATM,DNA Damage Repair,Cell Function
FANCL,DNA Damage Repair,Cell Function
LIG4,DNA Damage Repair,Cell Function
POLR2D,DNA Damage Repair,Cell Function
CCNO,DNA Damage Repair,Cell Function
PMS2,DNA Damage Repair,Cell Function
POLR2H,DNA Sensing,Signaling Pathways
CCL5,DNA Sensing,Signaling Pathways
TRIM21,DNA Sensing,Signaling Pathways
CREBBP,DNA Sensing,Signaling Pathways
NFKBIA,DNA Sensing,Signaling Pathways
MYD88,DNA Sensing,Signaling Pathways
IFNA8,DNA Sensing,Signaling Pathways
CGAS,DNA Sensing,Signaling Pathways
IRF3,DNA Sensing,Signaling Pathways
IL1B,DNA Sensing,Signaling Pathways
MRE11,DNA Sensing,Signaling Pathways
CHUK,DNA Sensing,Signaling Pathways
PYCARD,DNA Sensing,Signaling Pathways
RIPK1,DNA Sensing,Signaling Pathways
MAVS,DNA Sensing,Signaling Pathways
TBK1,DNA Sensing,Signaling Pathways
STING1,DNA Sensing,Signaling Pathways
CCL4,DNA Sensing,Signaling Pathways
RIPK3,DNA Sensing,Signaling Pathways
IL6,DNA Sensing,Signaling Pathways
IKBKG,DNA Sensing,Signaling Pathways
IFNA7/17,DNA Sensing,Signaling Pathways
UBC,DNA Sensing,Signaling Pathways
DDX58,DNA Sensing,Signaling Pathways
IFI16,DNA Sensing,Signaling Pathways
NFKB2,DNA Sensing,Signaling Pathways
STAT6,DNA Sensing,Signaling Pathways
IKBKB,DNA Sensing,Signaling Pathways
UBB,DNA Sensing,Signaling Pathways
IFNB1,DNA Sensing,Signaling Pathways
IKBKE,DNA Sensing,Signaling Pathways
IL33,DNA Sensing,Signaling Pathways
IRF7,DNA Sensing,Signaling Pathways
IL18,DNA Sensing,Signaling Pathways
DTX4,DNA Sensing,Signaling Pathways
PRKDC,DNA Sensing,Signaling Pathways
IFNA2,DNA Sensing,Signaling Pathways
EP300,DNA Sensing,Signaling Pathways
NFKB1,DNA Sensing,Signaling Pathways
CASP1,DNA Sensing,Signaling Pathways
RPS27A,DNA Sensing,Signaling Pathways
TLR3,DNA Sensing,Signaling Pathways
CTNNB1,DNA Sensing,Signaling Pathways
TICAM1,DNA Sensing,Signaling Pathways
CXCL10,DNA Sensing,Signaling Pathways
IFNA1,DNA Sensing,Signaling Pathways
RELA,DNA Sensing,Signaling Pathways
TAP1,Drug Resistance,Disease
TAP2,Drug Resistance,Disease
ABCB1,Drug Resistance,Disease
CBL,EGFR Signaling,Signaling Pathways
EGFR,EGFR Signaling,Signaling Pathways
EGF,EGFR Signaling,Signaling Pathways
SHC1,EGFR Signaling,Signaling Pathways
AREG,EGFR Signaling,Signaling Pathways
ADAM12,EGFR Signaling,Signaling Pathways
SPRY1,EGFR Signaling,Signaling Pathways
RPS27A,EGFR Signaling,Signaling Pathways
HRAS,EGFR Signaling,Signaling Pathways
SPRY2,EGFR Signaling,Signaling Pathways
SOS1,EGFR Signaling,Signaling Pathways
PTPN11,EGFR Signaling,Signaling Pathways
UBB,EGFR Signaling,Signaling Pathways
NRAS,EGFR Signaling,Signaling Pathways
UBC,EGFR Signaling,Signaling Pathways
PIK3R1,EGFR Signaling,Signaling Pathways
PIK3CA,EGFR Signaling,Signaling Pathways
EPCAM,EMT,Cell Function
TGFB2,EMT,Cell Function
ERBB2,EMT,Cell Function
NFKB1,EMT,Cell Function
ITGB1,EMT,Cell Function
SP1,EMT,Cell Function
CXCR4,EMT,Cell Function
EGFR,EMT,Cell Function
TGFB1,EMT,Cell Function
AKT1,EMT,Cell Function
GLI1,EMT,Cell Function
MCAM,EMT,Cell Function
CDH1,EMT,Cell Function
TWIST2,EMT,Cell Function
AURKA,EMT,Cell Function
CD274,EMT,Cell Function
BMP2,EMT,Cell Function
AR,EMT,Cell Function
KLF4,EMT,Cell Function
NOTCH1,EMT,Cell Function
BMP4,EMT,Cell Function
MET,EMT,Cell Function
PTEN,EMT,Cell Function
EGF,EMT,Cell Function
CCL18,EMT,Cell Function
MUC1,EMT,Cell Function
HGF,EMT,Cell Function
LOXL2,EMT,Cell Function
TLR4,EMT,Cell Function
HDAC1,EMT,Cell Function
PROM1,EMT,Cell Function
TCF3,EMT,Cell Function
CTNNB1,EMT,Cell Function
MAPK1,EMT,Cell Function
LCN2,EMT,Cell Function
GSK3B,EMT,Cell Function
MYC,EMT,Cell Function
FN1,EMT,Cell Function
CCL5,EMT,Cell Function
KRAS,EMT,Cell Function
SNAI1,EMT,Cell Function
STAT3,EMT,Cell Function
FOXA1,EMT,Cell Function
EZH2,EMT,Cell Function
LEF1,EMT,Cell Function
BMI1,EMT,Cell Function
POU5F1,EMT,Cell Function
L1CAM,EMT,Cell Function
CCL20,EMT,Cell Function
SNAI2,EMT,Cell Function
NTRK2,EMT,Cell Function
MTOR,EMT,Cell Function
PPARG,EMT,Cell Function
ZEB2,EMT,Cell Function
CCR7,EMT,Cell Function
IL6,EMT,Cell Function
EGR1,EMT,Cell Function
IGF1,EMT,Cell Function
CXCL8,EMT,Cell Function
RHOA,EMT,Cell Function
WNT5A,EMT,Cell Function
CCL2,EMT,Cell Function
CD44,EMT,Cell Function
CXCL12,EMT,Cell Function
VEGFA,EMT,Cell Function
NANOG,EMT,Cell Function
SMAD2,EMT,Cell Function
ROCK1,EMT,Cell Function
SMAD4,EMT,Cell Function
ID1,EMT,Cell Function
JUN,EMT,Cell Function
ESR1,EMT,Cell Function
HIF1A,EMT,Cell Function
STK11,EMT,Cell Function
IL1B,EMT,Cell Function
PIK3CA,EMT,Cell Function
FOXM1,EMT,Cell Function
SOX2,EMT,Cell Function
SMAD3,EMT,Cell Function
CDH2,EMT,Cell Function
TNF,EMT,Cell Function
TP53,EMT,Cell Function
ZEB1,EMT,Cell Function
MAPK3,EMT,Cell Function
FGFR1,EMT,Cell Function
HMGB1,EMT,Cell Function
HMGA2,EMT,Cell Function
IGF1R,EMT,Cell Function
PTGS2,EMT,Cell Function
DNMT1,EMT,Cell Function
MMP9,EMT,Cell Function
IL17A,EMT,Cell Function
TWIST1,EMT,Cell Function
CCL21,EMT,Cell Function
RELA,EMT,Cell Function
BMP7,EMT,Cell Function
RAC1,EMT,Cell Function
JAK2,EMT,Cell Function
CBL,Endocytosis,Cell Function
AREG,Endocytosis,Cell Function
FZD4,Endocytosis,Cell Function
REPS1,Endocytosis,Cell Function
HLA-E,Endocytosis,Cell Function
CD3D,Endocytosis,Cell Function
HSPA1A,Endocytosis,Cell Function
HSPA2,Endocytosis,Cell Function
CXCR4,Endocytosis,Cell Function
HLA-A,Endocytosis,Cell Function
EGFR,Endocytosis,Cell Function
APOB,Endocytosis,Cell Function
EGF,Endocytosis,Cell Function
CBLC,Endocytosis,Cell Function
SMAD2,Endocytosis,Cell Function
PLD1,Endocytosis,Cell Function
SMAD3,Endocytosis,Cell Function
WNT5A,Endocytosis,Cell Function
IL2RG,Endocytosis,Cell Function
SMAP1,Endocytosis,Cell Function
ACTB,Endocytosis,Cell Function
FGFR3,Endocytosis,Cell Function
PML,Endocytosis,Cell Function
IL7R,Endocytosis,Cell Function
CXCR2,Endocytosis,Cell Function
CD4,Endocytosis,Cell Function
TGFBR1,Endocytosis,Cell Function
WIPF1,Endocytosis,Cell Function
TGFBR2,Endocytosis,Cell Function
RPS27A,Endocytosis,Cell Function
IGF1R,Endocytosis,Cell Function
HLA-B,Endocytosis,Cell Function
IL2RB,Endocytosis,Cell Function
TFRC,Endocytosis,Cell Function
FGFR2,Endocytosis,Cell Function
FGFR4,Endocytosis,Cell Function
IGF2R,Endocytosis,Cell Function
HRAS,Endocytosis,Cell Function
RAB7A,Endocytosis,Cell Function
CCR5,Endocytosis,Cell Function
CXCR1,Endocytosis,Cell Function
HLA-G,Endocytosis,Cell Function
LRP2,Endocytosis,Cell Function
IL2RA,Endocytosis,Cell Function
MDM2,Endocytosis,Cell Function
UBB,Endocytosis,Cell Function
ITCH,Endocytosis,Cell Function
DAB2,Endocytosis,Cell Function
HLA-F,Endocytosis,Cell Function
CD3G,Endocytosis,Cell Function
HSPA6,Endocytosis,Cell Function
RHOA,Endocytosis,Cell Function
PDGFRA,Endocytosis,Cell Function
HLA-C,Endocytosis,Cell Function
UBC,Endocytosis,Cell Function
TRAF6,Endocytosis,Cell Function
SYT17,Endocytosis,Cell Function
EWSR1,Epigenetic Modification,Cell Function
CCNA1,Epigenetic Modification,Cell Function
CDKN1B,Epigenetic Modification,Cell Function
KDM6A,Epigenetic Modification,Cell Function
IL3,Epigenetic Modification,Cell Function
TLX1,Epigenetic Modification,Cell Function
CDKN1A,Epigenetic Modification,Cell Function
NFKB1,Epigenetic Modification,Cell Function
CCND1,Epigenetic Modification,Cell Function
TSPAN7,Epigenetic Modification,Cell Function
ASXL1,Epigenetic Modification,Cell Function
SP1,Epigenetic Modification,Cell Function
TCF3,Epigenetic Modification,Cell Function
HDAC10,Epigenetic Modification,Cell Function
FLT3,Epigenetic Modification,Cell Function
WNT16,Epigenetic Modification,Cell Function
DUSP6,Epigenetic Modification,Cell Function
CCND2,Epigenetic Modification,Cell Function
ARID1A,Epigenetic Modification,Cell Function
PBRM1,Epigenetic Modification,Cell Function
CSF2,Epigenetic Modification,Cell Function
GRIA3,Epigenetic Modification,Cell Function
ETV7,Epigenetic Modification,Cell Function
ETV1,Epigenetic Modification,Cell Function
WT1,Epigenetic Modification,Cell Function
H3-3A,Epigenetic Modification,Cell Function
TMPRSS2,Epigenetic Modification,Cell Function
MET,Epigenetic Modification,Cell Function
EYA1,Epigenetic Modification,Cell Function
HDAC2,Epigenetic Modification,Cell Function
CCNA2,Epigenetic Modification,Cell Function
RUNX1T1,Epigenetic Modification,Cell Function
ID2,Epigenetic Modification,Cell Function
BMI1,Epigenetic Modification,Cell Function
RUNX1,Epigenetic Modification,Cell Function
HOXA9,Epigenetic Modification,Cell Function
GADD45B,Epigenetic Modification,Cell Function
GATA1,Epigenetic Modification,Cell Function
KMT2D,Epigenetic Modification,Cell Function
REL,Epigenetic Modification,Cell Function
PBX1,Epigenetic Modification,Cell Function
KDM5C,Epigenetic Modification,Cell Function
IGFBP3,Epigenetic Modification,Cell Function
HDAC1,Epigenetic Modification,Cell Function
CXCL8,Epigenetic Modification,Cell Function
PROM1,Epigenetic Modification,Cell Function
SIX1,Epigenetic Modification,Cell Function
BAIAP3,Epigenetic Modification,Cell Function
ATF1,Epigenetic Modification,Cell Function
ARID1B,Epigenetic Modification,Cell Function
GADD45A,Epigenetic Modification,Cell Function
ITGAM,Epigenetic Modification,Cell Function
MYC,Epigenetic Modification,Cell Function
PAX8,Epigenetic Modification,Cell Function
CEBPA,Epigenetic Modification,Cell Function
CD86,Epigenetic Modification,Cell Function
PDGFA,Epigenetic Modification,Cell Function
IGF1,Epigenetic Modification,Cell Function
BCL2L1,Epigenetic Modification,Cell Function
MECOM,Epigenetic Modification,Cell Function
ACTB,Epigenetic Modification,Cell Function
BCL6,Epigenetic Modification,Cell Function
NSD2,Epigenetic Modification,Cell Function
PAX5,Epigenetic Modification,Cell Function
TRAF1,Epigenetic Modification,Cell Function
EZH2,Epigenetic Modification,Cell Function
MEN1,Epigenetic Modification,Cell Function
SETD2,Epigenetic Modification,Cell Function
CREBBP,Epigenetic Modification,Cell Function
HHEX,Epigenetic Modification,Cell Function
KMT2C,Epigenetic Modification,Cell Function
CSF1R,Epigenetic Modification,Cell Function
PPARG,Epigenetic Modification,Cell Function
PTCRA,Epigenetic Modification,Cell Function
ETV4,Epigenetic Modification,Cell Function
ERG,Epigenetic Modification,Cell Function
EP300,Epigenetic Modification,Cell Function
IL6,Epigenetic Modification,Cell Function
MLLT3,Epigenetic Modification,Cell Function
PLAT,Epigenetic Modification,Cell Function
IL2RB,Epigenetic Modification,Cell Function
KAT2B,Epigenetic Modification,Cell Function
NFKBIZ,Epigenetic Modification,Cell Function
CEBPB,Epigenetic Modification,Cell Function
ITGB7,Epigenetic Modification,Cell Function
PBX3,Epigenetic Modification,Cell Function
GATA2,Epigenetic Modification,Cell Function
JADE1,Epigenetic Modification,Cell Function
PLAU,Epigenetic Modification,Cell Function
CD14,Epigenetic Modification,Cell Function
MEF2C,Epigenetic Modification,Cell Function
CD40,Epigenetic Modification,Cell Function
H3C2,Epigenetic Modification,Cell Function
HOXA10,Epigenetic Modification,Cell Function
NSD1,Epigenetic Modification,Cell Function
FUT8,Epigenetic Modification,Cell Function
MLF1,Epigenetic Modification,Cell Function
TFE3,Epigenetic Modification,Cell Function
H2AX,Epigenetic Modification,Cell Function
CEBPE,Epigenetic Modification,Cell Function
HOXA11,Epigenetic Modification,Cell Function
MYCN,Epigenetic Modification,Cell Function
ATF3,Epigenetic Modification,Cell Function
ZBTB16,Epigenetic Modification,Cell Function
FCGR1A,Epigenetic Modification,Cell Function
ARID2,Epigenetic Modification,Cell Function
ZEB1,Epigenetic Modification,Cell Function
NR4A3,Epigenetic Modification,Cell Function
JUP,Epigenetic Modification,Cell Function
H3C10,Epigenetic Modification,Cell Function
DDIT3,Epigenetic Modification,Cell Function
BRD2,Epigenetic Modification,Cell Function
HELLS,Epigenetic Modification,Cell Function
BCL2A1,Epigenetic Modification,Cell Function
TGFBR2,Epigenetic Modification,Cell Function
UTY,Epigenetic Modification,Cell Function
LCOR,Epigenetic Modification,Cell Function
SUV39H2,Epigenetic Modification,Cell Function
PML,Epigenetic Modification,Cell Function
NGFR,Epigenetic Modification,Cell Function
H3C8,Epigenetic Modification,Cell Function
ARNT2,Epigenetic Modification,Cell Function
ELANE,Epigenetic Modification,Cell Function
BIRC3,Epigenetic Modification,Cell Function
MMP9,Epigenetic Modification,Cell Function
SIN3A,Epigenetic Modification,Cell Function
PAX3,Epigenetic Modification,Cell Function
BRD7,Epigenetic Modification,Cell Function
NSD3,Epigenetic Modification,Cell Function
TBL1XR1,Epigenetic Modification,Cell Function
BRD4,Epigenetic Modification,Cell Function
EGR2,Epigenetic Modification,Cell Function
H3-5,Epigenetic Modification,Cell Function
MAF,Epigenetic Modification,Cell Function
NTRK1,Epigenetic Modification,Cell Function
GZMB,Epigenetic Modification,Cell Function
MMP3,Epigenetic Modification,Cell Function
TP53,Epigenetic Modification,Cell Function
NFKB2,Epigenetic Modification,Cell Function
DNMT3A,Epigenetic Modification,Cell Function
SMARCB1,Epigenetic Modification,Cell Function
CDKN2C,Epigenetic Modification,Cell Function
SSX1,Epigenetic Modification,Cell Function
FLT1,Epigenetic Modification,Cell Function
NCOR1,Epigenetic Modification,Cell Function
SMARCA4,Epigenetic Modification,Cell Function
HDAC3,Epigenetic Modification,Cell Function
HMGA2,Epigenetic Modification,Cell Function
MDM2,Epigenetic Modification,Cell Function
EPM2AIP1,Epigenetic Modification,Cell Function
RELA,Epigenetic Modification,Cell Function
MPO,Epigenetic Modification,Cell Function
IL1R2,Epigenetic Modification,Cell Function
IGF1R,Epigenetic Modification,Cell Function
NUPR1,Epigenetic Modification,Cell Function
CDK4,Epigenetic Modification,Cell Function
JAK2,Epigenetic Modification,Cell Function
ATM,Epigenetic Modification,Cell Function
BRD3,Epigenetic Modification,Cell Function
RXRG,Epigenetic Modification,Cell Function
GADD45G,Epigenetic Modification,Cell Function
BAX,Epigenetic Modification,Cell Function
HPGD,Epigenetic Modification,Cell Function
FAM124B,Epigenetic Modification,Cell Function
ATF2,Epigenetic Modification,Cell Function
DDB2,Epigenetic Modification,Cell Function
EGFR,ERBB2 Signaling,Signaling Pathways
AKT1,ERBB2 Signaling,Signaling Pathways
UBB,ERBB2 Signaling,Signaling Pathways
EGF,ERBB2 Signaling,Signaling Pathways
SHC1,ERBB2 Signaling,Signaling Pathways
RPS27A,ERBB2 Signaling,Signaling Pathways
GRB7,ERBB2 Signaling,Signaling Pathways
ERBB2,ERBB2 Signaling,Signaling Pathways
PRKCA,ERBB2 Signaling,Signaling Pathways
PRKCD,ERBB2 Signaling,Signaling Pathways
NRAS,ERBB2 Signaling,Signaling Pathways
RHOA,ERBB2 Signaling,Signaling Pathways
AKT3,ERBB2 Signaling,Signaling Pathways
SOS1,ERBB2 Signaling,Signaling Pathways
UBC,ERBB2 Signaling,Signaling Pathways
AKT2,ERBB2 Signaling,Signaling Pathways
PIK3R1,ERBB2 Signaling,Signaling Pathways
HRAS,ERBB2 Signaling,Signaling Pathways
PRKCE,ERBB2 Signaling,Signaling Pathways
PIK3CA,ERBB2 Signaling,Signaling Pathways
FYN,ERBB2 Signaling,Signaling Pathways
CCND1,Estrogen Signaling,Signaling Pathways
HSPA1A,Estrogen Signaling,Signaling Pathways
SMC1A,Estrogen Signaling,Signaling Pathways
SP1,Estrogen Signaling,Signaling Pathways
HSPA2,Estrogen Signaling,Signaling Pathways
EGFR,Estrogen Signaling,Signaling Pathways
KRT18,Estrogen Signaling,Signaling Pathways
AKT1,Estrogen Signaling,Signaling Pathways
CREB1,Estrogen Signaling,Signaling Pathways
POLR2A,Estrogen Signaling,Signaling Pathways
MAP2K1,Estrogen Signaling,Signaling Pathways
CXXC5,Estrogen Signaling,Signaling Pathways
HSP90B1,Estrogen Signaling,Signaling Pathways
KRT19,Estrogen Signaling,Signaling Pathways
NOS3,Estrogen Signaling,Signaling Pathways
CREBBP,Estrogen Signaling,Signaling Pathways
H3-3A,Estrogen Signaling,Signaling Pathways
CREB3L4,Estrogen Signaling,Signaling Pathways
AXIN1,Estrogen Signaling,Signaling Pathways
PIK3R3,Estrogen Signaling,Signaling Pathways
PIK3CB,Estrogen Signaling,Signaling Pathways
SHC1,Estrogen Signaling,Signaling Pathways
RUNX1,Estrogen Signaling,Signaling Pathways
PLCB4,Estrogen Signaling,Signaling Pathways
POLR2H,Estrogen Signaling,Signaling Pathways
CALML3,Estrogen Signaling,Signaling Pathways
CXCL12,Estrogen Signaling,Signaling Pathways
PRKACA,Estrogen Signaling,Signaling Pathways
RAF1,Estrogen Signaling,Signaling Pathways
MAPK1,Estrogen Signaling,Signaling Pathways
PIK3CD,Estrogen Signaling,Signaling Pathways
MYC,Estrogen Signaling,Signaling Pathways
H2AX,Estrogen Signaling,Signaling Pathways
KRAS,Estrogen Signaling,Signaling Pathways
PRKACB,Estrogen Signaling,Signaling Pathways
SMC3,Estrogen Signaling,Signaling Pathways
KAT2B,Estrogen Signaling,Signaling Pathways
GNAQ,Estrogen Signaling,Signaling Pathways
ESR2,Estrogen Signaling,Signaling Pathways
PGR,Estrogen Signaling,Signaling Pathways
EP300,Estrogen Signaling,Signaling Pathways
HDAC1,Estrogen Signaling,Signaling Pathways
SHC3,Estrogen Signaling,Signaling Pathways
GRB2,Estrogen Signaling,Signaling Pathways
BCL2,Estrogen Signaling,Signaling Pathways
CREB5,Estrogen Signaling,Signaling Pathways
RAD21,Estrogen Signaling,Signaling Pathways
FOXA1,Estrogen Signaling,Signaling Pathways
MYB,Estrogen Signaling,Signaling Pathways
KRT10,Estrogen Signaling,Signaling Pathways
JUN,Estrogen Signaling,Signaling Pathways
ESR1,Estrogen Signaling,Signaling Pathways
SHC2,Estrogen Signaling,Signaling Pathways
MMP9,Estrogen Signaling,Signaling Pathways
NRAS,Estrogen Signaling,Signaling Pathways
HRAS,Estrogen Signaling,Signaling Pathways
KRT17,Estrogen Signaling,Signaling Pathways
GNAS,Estrogen Signaling,Signaling Pathways
POLR2J,Estrogen Signaling,Signaling Pathways
PIK3R1,Estrogen Signaling,Signaling Pathways
AKT2,Estrogen Signaling,Signaling Pathways
SOS2,Estrogen Signaling,Signaling Pathways
SHC4,Estrogen Signaling,Signaling Pathways
CALML5,Estrogen Signaling,Signaling Pathways
FOS,Estrogen Signaling,Signaling Pathways
HSPA6,Estrogen Signaling,Signaling Pathways
AKT3,Estrogen Signaling,Signaling Pathways
STAG2,Estrogen Signaling,Signaling Pathways
MAPK3,Estrogen Signaling,Signaling Pathways
PLCB1,Estrogen Signaling,Signaling Pathways
TBP,Estrogen Signaling,Signaling Pathways
MAP2K2,Estrogen Signaling,Signaling Pathways
PRKCD,Estrogen Signaling,Signaling Pathways
GATA3,Estrogen Signaling,Signaling Pathways
CREB3L3,Estrogen Signaling,Signaling Pathways
CALML6,Estrogen Signaling,Signaling Pathways
PRKACG,Estrogen Signaling,Signaling Pathways
PIK3R2,Estrogen Signaling,Signaling Pathways
PIK3CA,Estrogen Signaling,Signaling Pathways
KRT14,Estrogen Signaling,Signaling Pathways
POLR2D,Estrogen Signaling,Signaling Pathways
SOS1,Estrogen Signaling,Signaling Pathways
CREB3L1,Estrogen Signaling,Signaling Pathways
ATF2,Estrogen Signaling,Signaling Pathways
MCAT,Fatty Acid Oxidation,Metabolism
EHHADH,Fatty Acid Oxidation,Metabolism
ADH1A/B/C,Fatty Acid Oxidation,Metabolism
ADH4,Fatty Acid Oxidation,Metabolism
ADH6,Fatty Acid Oxidation,Metabolism
PRKAA2,Fatty Acid Oxidation,Metabolism
THEM4,Fatty Acid Oxidation,Metabolism
ACOT12,Fatty Acid Oxidation,Metabolism
CYP4A11/22,Fatty Acid Oxidation,Metabolism
ACSF3,Fatty Acid Synthesis,Metabolism
MCAT,Fatty Acid Synthesis,Metabolism
SLC25A1,Fatty Acid Synthesis,Metabolism
HACD2,Fatty Acid Synthesis,Metabolism
HSD17B8,Fatty Acid Synthesis,Metabolism
TECR,Fatty Acid Synthesis,Metabolism
CBL,FGFR Signaling,Signaling Pathways
FGF4,FGFR Signaling,Signaling Pathways
MAPK1,FGFR Signaling,Signaling Pathways
POLR2A,FGFR Signaling,Signaling Pathways
SPRED1,FGFR Signaling,Signaling Pathways
FGF7,FGFR Signaling,Signaling Pathways
FGF22,FGFR Signaling,Signaling Pathways
NRAS,FGFR Signaling,Signaling Pathways
POLR2H,FGFR Signaling,Signaling Pathways
FGF9,FGFR Signaling,Signaling Pathways
FGF16,FGFR Signaling,Signaling Pathways
PIK3R1,FGFR Signaling,Signaling Pathways
RPS27A,FGFR Signaling,Signaling Pathways
FGF23,FGFR Signaling,Signaling Pathways
FGF14,FGFR Signaling,Signaling Pathways
FGFR4,FGFR Signaling,Signaling Pathways
FGF19,FGFR Signaling,Signaling Pathways
BRAF,FGFR Signaling,Signaling Pathways
FGF12,FGFR Signaling,Signaling Pathways
MAPK3,FGFR Signaling,Signaling Pathways
PTPN11,FGFR Signaling,Signaling Pathways
UBB,FGFR Signaling,Signaling Pathways
FGF1,FGFR Signaling,Signaling Pathways
FGF6,FGFR Signaling,Signaling Pathways
UBC,FGFR Signaling,Signaling Pathways
PPP2CB,FGFR Signaling,Signaling Pathways
POLR2J,FGFR Signaling,Signaling Pathways
FGF18,FGFR Signaling,Signaling Pathways
FGF10,FGFR Signaling,Signaling Pathways
FGF13,FGFR Signaling,Signaling Pathways
PPP2R1A,FGFR Signaling,Signaling Pathways
PIK3CA,FGFR Signaling,Signaling Pathways
FGF20,FGFR Signaling,Signaling Pathways
FGF3,FGFR Signaling,Signaling Pathways
HRAS,FGFR Signaling,Signaling Pathways
POLR2D,FGFR Signaling,Signaling Pathways
FGF11,FGFR Signaling,Signaling Pathways
FGF2,FGFR Signaling,Signaling Pathways
SPRY2,FGFR Signaling,Signaling Pathways
SOS1,FGFR Signaling,Signaling Pathways
MAPK14,FoxO Signaling,Signaling Pathways
GADD45B,FoxO Signaling,Signaling Pathways
CHUK,FoxO Signaling,Signaling Pathways
TGFB2,FoxO Signaling,Signaling Pathways
SOD2,FoxO Signaling,Signaling Pathways
CCND1,FoxO Signaling,Signaling Pathways
RAF1,FoxO Signaling,Signaling Pathways
IRS1,FoxO Signaling,Signaling Pathways
MAPK1,FoxO Signaling,Signaling Pathways
EGFR,FoxO Signaling,Signaling Pathways
TGFB1,FoxO Signaling,Signaling Pathways
SKP2,FoxO Signaling,Signaling Pathways
AKT1,FoxO Signaling,Signaling Pathways
MAP2K1,FoxO Signaling,Signaling Pathways
MAPK11,FoxO Signaling,Signaling Pathways
PTEN,FoxO Signaling,Signaling Pathways
TGFBR1,FoxO Signaling,Signaling Pathways
FOXO4,FoxO Signaling,Signaling Pathways
MAPK9,FoxO Signaling,Signaling Pathways
EGF,FoxO Signaling,Signaling Pathways
PIK3R3,FoxO Signaling,Signaling Pathways
PLK1,FoxO Signaling,Signaling Pathways
PIK3CB,FoxO Signaling,Signaling Pathways
CDKN1B,FoxO Signaling,Signaling Pathways
SGK1,FoxO Signaling,Signaling Pathways
CDKN2B,FoxO Signaling,Signaling Pathways
CDKN1A,FoxO Signaling,Signaling Pathways
MAPK12,FoxO Signaling,Signaling Pathways
CREBBP,FoxO Signaling,Signaling Pathways
GADD45A,FoxO Signaling,Signaling Pathways
