"","23R8925|009|CD11c","23R8925|010|CD11c","23R9663|015|CD11c","23R9663|016|CD11c","23R9663|004|CD11c","23R9663|005|CD11c","23R9663|006|CD11c","23R9663|007|CD11c","23R8925|013|CD11c","23R8925|014|CD11c","23R8925|017|CD11c","23R8925|018|CD11c","23R9663|009|CD11c","23R9663|002|CD11c","23R9663|013|CD11c","23R9663|001|CD11c"
"ERG",27.306095293705,25.9046593537452,30.7315029537423,33.2524125806589,33.2721893263371,30.5618678078029,32.0802520353288,34.0394712449549,33.6616045920651,33.3629112585984,26.9290623117349,29.1009001751875,32.6678992224887,40.8867429420251,23.9538258667005,44.7302923951405
"RUNX3",68.4096249207394,71.807432589605,59.5330591518227,59.1260268307949,55.3367500288305,62.0156111912076,59.6840677550942,60.0062839562005,56.5711633413045,65.3790874242247,78.7773614788633,82.1885830142622,59.2908294507006,55.0915117392764,57.4596419263619,52.7070172387752
"CCL14",16.4932409351673,23.7959422608868,26.6908864735177,22.536144823048,22.3518775393411,23.6586794255242,25.0419966834373,23.85835922748,25.7866627277038,21.2073499805221,24.2494149354188,24.8100827594897,24.0924122341202,28.0472196207421,16.8396304742921,20.7495571947754
"C1QBP",77.6140204099439,74.5179858628544,74.9698112125947,79.6459464295516,82.5333707669048,82.4948838909476,78.8639201645997,68.4921971138655,66.6318033385363,76.3236674860243,59.7104005946526,50.3257209524471,69.2710585733216,57.2345416920941,72.6875502243415,54.0329238591853
"PSAT1",31.3565864653405,29.1736030971634,31.0851999567097,26.5800123903353,31.2653195272054,29.6173109639743,30.8750422799263,28.0821203981312,29.9805042770636,30.5476081493325,26.4743019586053,23.1050272319138,31.5568218878005,35.5893533039534,26.4470205770866,30.8092985365855
"RPL7A",989.135276303019,968.996364577678,836.691384293462,615.855156841837,738.662323748034,796.840288939572,764.209134451192,655.72495722728,543.777947787316,633.339574003895,1180.7746888959,1161.28153353412,540.910512535741,617.93627923478,851.033485398926,611.750353290407
"ACY1",28.4540596250381,28.2929814264675,28.871328993519,30.8543307595495,32.7738748110617,30.0404486375246,28.3216907128538,30.1988047722122,34.4468169529129,33.5999717782813,37.6698041979629,26.8093876474476,26.0428178710351,27.9084858733838,35.8282950368124,34.2539108888489
"UTY",25.3742254935802,30.5080468133968,29.4448829926187,30.5902239313839,32.2383745397646,30.4865117440055,29.3476707635769,33.6358807762827,29.6738206954905,31.6222993621896,27.7184478636983,30.8729714203435,33.1728042658537,34.7173648357528,26.1376135313999,29.3614598058656
"PRMT8",26.952292968955,23.6557337839385,24.6646514890619,27.344372604616,23.9432275267502,25.5736206085792,25.4694425197402,28.0014031483848,28.2231441674642,22.8998746801713,24.8353983779715,27.8609617914857,26.1391155923938,33.6567922808616,26.0845956230145,31.8163800136023
"LAMB4",21.1408107850189,21.3238252224395,24.7016183510207,26.7438523466187,25.8531513115269,26.8210335519853,25.4814569740033,24.5556566486619,23.9747884117381,28.829076892138,23.2641343831642,23.9818674483908,27.7783208504074,33.1700520376352,25.8312991301014,30.6183170887326
"ANP32B",114.243211489571,104.981800332917,92.8961780847404,82.5646095169528,91.9162775508207,87.4933724532626,92.0875575282227,84.9793861185484,68.6966956768845,81.3440239005781,122.793010964041,110.916958312083,70.9221153054395,73.8731088729677,85.6655211594327,87.0827771641372
"SELENOK",30.4055200680801,30.5529679416279,27.6128841996974,34.1722493551661,28.9338464236826,34.4746889730239,30.7128247090025,32.1495010298592,43.3393727013693,39.2283470628594,35.1798331754027,39.4306059597537,40.2028210050274,41.2742085528229,32.135636963906,34.626370129844
"PTPRC",203.895913463161,208.668471305609,146.799196857424,161.842152630251,137.084387216044,133.747945761247,136.008344790207,128.334577074854,135.116620369924,178.736926491115,171.84167002822,179.809563635508,201.94060631597,129.937135079755,223.035124787432,109.607295900943
"SUV39H2",27.7086880425227,26.2850025814415,29.0747276349081,28.3758734361184,27.2193731420834,25.5342558334261,27.1029526399033,27.8745288325351,29.4513390937132,32.6002220991836,28.8563798830488,26.1407504639667,28.6562957290207,36.8554805337426,20.9048904181745,38.7381221315041
"SIGIRR",58.0195522837729,57.7299937202192,56.2294556688941,49.6505557409292,44.6167807116913,49.8376308739718,49.691421886656,48.3040189321698,34.8927032596982,45.8652225707661,54.2661873858969,60.7156508184149,42.1266239744695,46.9925979343169,41.6439411993934,39.6153633672433
"IL17RB",24.4716348876936,25.9048683094719,27.7251591411043,27.0986488270287,28.1956353105505,26.5427424795929,27.0280779604616,25.3357915019775,28.9727408290924,24.9772454242698,27.4467727411138,23.4469743573875,28.4157854870441,38.6828806697138,31.8727440542787,37.0649894667162
"FBXW7",37.789208742972,35.0368923474181,36.0515786645028,36.885355396416,37.4964686466645,35.3581643836246,36.8226051998323,36.5540128001041,41.4959930909763,43.3793105760867,46.126738635263,40.7101944163878,42.1049208255369,41.356099611873,33.5157042263371,43.6133397379401
"MCL1",139.874297393416,137.040227494151,109.903535042767,121.441450262163,102.008840321129,111.697909007372,107.981666843818,99.7466376843027,145.744415366039,134.56629728645,153.018381573551,123.62298481199,127.874671726827,103.276382469922,128.830113932125,95.7191450926252
"CCNB3",25.1925810895284,26.1675183736696,24.8370552231781,27.4646525346923,28.7156306310396,27.6930783422959,25.7236697397571,28.5158921125986,28.666622057857,25.110505869552,22.3178097857915,28.0761687550887,26.5083035550678,36.9282621401399,21.1874914895369,31.773141549936
"TNFRSF13C",36.5322011885571,36.578605948765,32.6431633398652,32.2683719572231,33.398625919466,33.2256429481546,31.3233332595597,33.3454757864722,29.6513986765377,39.3028083451035,88.5100680047275,101.630764219381,41.7947183769857,43.6091388709217,56.7486703399703,49.7430945674813
"FCN1",29.9538803321242,38.9869820666906,37.4521124562104,42.6597473903101,45.8431035329892,39.5638746573539,42.3775839244823,38.6786669611625,41.0162677015413,47.733981876428,28.9498231638566,34.3317480672804,54.4649880691918,39.7613566021271,46.3996356120115,54.2332536442405
"RIPK1",40.9388555794426,41.9294944642189,40.2283138505233,39.0287244106281,39.1835305435893,38.9040620534685,40.55539197819,40.8230001107463,39.5714315169281,36.1157080285629,39.6278692799021,36.7278263816349,41.230474642996,45.8739348487016,46.1652820316417,39.8753411417102
"SPRY1",25.585726055599,26.4891005274799,30.259109669702,29.7802520250865,29.7488636832989,28.787007112948,29.8381948512982,31.0634675413431,29.5424922338552,29.4641113361398,27.4203307144146,24.1800757045814,32.4788644958201,29.3299163058207,19.962272052359,33.5889189019614
